speed:const 300, time=20s
Node0 remaining power: 285.462
Node1 remaining power: 298.739
Node2 remaining power: 265.727
Node3 remaining power: 278.113
Node4 remaining power: 296.006
Node5 remaining power: 280.835
Node6 remaining power: 277.134
Node7 remaining power: 281.325
Node8 remaining power: 293.612
Node9 remaining power: 284.845
Node10 remaining power: 287.413
Node11 remaining power: 287.3
Node12 remaining power: 286.401
Node13 remaining power: 288.983
Node14 remaining power: 261.163
Node15 remaining power: 274.128
Node16 remaining power: 261.357
Node17 remaining power: 270.941
Node18 remaining power: 288.161
Node19 remaining power: 262
Node20 remaining power: 1244.09
Node21 remaining power: 1249.5
Node22 remaining power: 1273.62
Node23 remaining power: 1251.5
Node24 remaining power: 1243.51
Node25 remaining power: 1263.63
Node26 remaining power: 1252.06
Node27 remaining power: 1314.37
Node28 remaining power: 1248.09
Node29 remaining power: 1266.43
Node30 remaining power: 1306.33
Node31 remaining power: 1322.45
Node32 remaining power: 1302.84
Node33 remaining power: 1284.42
Node34 remaining power: 1264.09
Node35 remaining power: 1316.89
Node36 remaining power: 1350.59
Node37 remaining power: 1315.32
Node38 remaining power: 1308.68
Node39 remaining power: 1346.72
Node40 remaining power: 1403.85
Node41 remaining power: 1298.55
Node42 remaining power: 1356.38
Node43 remaining power: 1395.96
Node44 remaining power: 1395.63
Node45 remaining power: 1400.71
Node46 remaining power: 1402.92
Node47 remaining power: 1400.93
Node48 remaining power: 1410.61
Node49 remaining power: 1361.48
speed:const 250, time=20s
Node0 remaining power: 312.583
Node1 remaining power: 324.976
Node2 remaining power: 302.781
Node3 remaining power: 316.016
Node4 remaining power: 320.72
Node5 remaining power: 308.213
Node6 remaining power: 306.399
Node7 remaining power: 314.307
Node8 remaining power: 320.643
Node9 remaining power: 312.389
Node10 remaining power: 312.913
Node11 remaining power: 310.77
Node12 remaining power: 311.505
Node13 remaining power: 311.959
Node14 remaining power: 292.185
Node15 remaining power: 301.945
Node16 remaining power: 293.749
Node17 remaining power: 302.233
Node18 remaining power: 311.607
Node19 remaining power: 298.1
Node20 remaining power: 1279.38
Node21 remaining power: 1284.4
Node22 remaining power: 1297.36
Node23 remaining power: 1285.66
Node24 remaining power: 1279.35
Node25 remaining power: 1290.6
Node26 remaining power: 1287.01
Node27 remaining power: 1332.7
Node28 remaining power: 1282.51
Node29 remaining power: 1299.11
Node30 remaining power: 1333.62
Node31 remaining power: 1342.3
Node32 remaining power: 1330.93
Node33 remaining power: 1317.88
Node34 remaining power: 1300.89
Node35 remaining power: 1346.62
Node36 remaining power: 1372.1
Node37 remaining power: 1348.2
Node38 remaining power: 1341.78
Node39 remaining power: 1367.42
Node40 remaining power: 1427.11
Node41 remaining power: 1339.86
Node42 remaining power: 1379.18
Node43 remaining power: 1414.91
Node44 remaining power: 1409.2
Node45 remaining power: 1423.1
Node46 remaining power: 1423.2
Node47 remaining power: 1426.82
Node48 remaining power: 1432.28
Node49 remaining power: 1388.93
