speed:const 300, time:20s
Node0 remaining power: 327.637
Node1 remaining power: 334.143
Node2 remaining power: 313.113
Node3 remaining power: 318.351
Node4 remaining power: 334.042
Node5 remaining power: 326.803
Node6 remaining power: 319.529
Node7 remaining power: 324.056
Node8 remaining power: 330.966
Node9 remaining power: 330.132
Node10 remaining power: 325.414
Node11 remaining power: 327.377
Node12 remaining power: 328.504
Node13 remaining power: 328.776
Node14 remaining power: 314.672
Node15 remaining power: 317.688
Node16 remaining power: 310.904
Node17 remaining power: 316.158
Node18 remaining power: 329.836
Node19 remaining power: 310.097
Node20 remaining power: 1306.37
Node21 remaining power: 1308.06
Node22 remaining power: 1318.32
Node23 remaining power: 1308.36
Node24 remaining power: 1304.61
Node25 remaining power: 1314.18
Node26 remaining power: 1309.48
Node27 remaining power: 1364.05
Node28 remaining power: 1306.8
Node29 remaining power: 1326.34
Node30 remaining power: 1355.98
Node31 remaining power: 1365.99
Node32 remaining power: 1353.18
Node33 remaining power: 1336.74
Node34 remaining power: 1322.07
Node35 remaining power: 1368.28
Node36 remaining power: 1398.37
Node37 remaining power: 1365.03
Node38 remaining power: 1359.23
Node39 remaining power: 1395.46
Node40 remaining power: 1437.28
Node41 remaining power: 1347.69
Node42 remaining power: 1401.81
Node43 remaining power: 1428.63
Node44 remaining power: 1432.57
Node45 remaining power: 1437.1
Node46 remaining power: 1438.22
Node47 remaining power: 1433.55
Node48 remaining power: 1442.41
Node49 remaining power: 1403.98
speed:const 250, time:20s
Node0 remaining power: 276.434
Node1 remaining power: 287.443
Node2 remaining power: 257.98
Node3 remaining power: 272.777
Node4 remaining power: 283.056
Node5 remaining power: 265.375
Node6 remaining power: 262.018
Node7 remaining power: 273.499
Node8 remaining power: 279.363
Node9 remaining power: 273.471
Node10 remaining power: 271.953
Node11 remaining power: 267.056
Node12 remaining power: 270.59
Node13 remaining power: 273.067
Node14 remaining power: 251.937
Node15 remaining power: 258.031
Node16 remaining power: 251.454
Node17 remaining power: 256.649
Node18 remaining power: 269.845
Node19 remaining power: 253.759
Node20 remaining power: 1238.7
Node21 remaining power: 1243.77
Node22 remaining power: 1251.98
Node23 remaining power: 1246.23
Node24 remaining power: 1239.25
Node25 remaining power: 1246.41
Node26 remaining power: 1244.96
Node27 remaining power: 1294.61
Node28 remaining power: 1241.87
Node29 remaining power: 1254.55
Node30 remaining power: 1296.15
Node31 remaining power: 1309.64
Node32 remaining power: 1293.36
Node33 remaining power: 1279.74
Node34 remaining power: 1260.26
Node35 remaining power: 1310.57
Node36 remaining power: 1343.97
Node37 remaining power: 1310.61
Node38 remaining power: 1302.86
Node39 remaining power: 1339.7
Node40 remaining power: 1413.61
Node41 remaining power: 1301.25
Node42 remaining power: 1355.03
Node43 remaining power: 1395.56
Node44 remaining power: 1390.29
Node45 remaining power: 1406.64
Node46 remaining power: 1406.23
Node47 remaining power: 1411.5
Node48 remaining power: 1417.23
Node49 remaining power: 1362.26
speed:const 200, time=20s
Node0 remaining power: 292.696
Node1 remaining power: 300.243
Node2 remaining power: 272.945
Node3 remaining power: 285.23
Node4 remaining power: 297.129
Node5 remaining power: 285.624
Node6 remaining power: 277.853
Node7 remaining power: 286.625
Node8 remaining power: 294.92
Node9 remaining power: 290.141
Node10 remaining power: 283.884
Node11 remaining power: 283.422
Node12 remaining power: 281.764
Node13 remaining power: 288.935
Node14 remaining power: 257.699
Node15 remaining power: 270.693
Node16 remaining power: 258.876
Node17 remaining power: 267.132
Node18 remaining power: 280.028
Node19 remaining power: 259.569
Node20 remaining power: 1244.99
Node21 remaining power: 1247.57
Node22 remaining power: 1262.82
Node23 remaining power: 1246.81
Node24 remaining power: 1245.01
Node25 remaining power: 1250.49
Node26 remaining power: 1249.48
Node27 remaining power: 1286.15
Node28 remaining power: 1248.05
Node29 remaining power: 1258
Node30 remaining power: 1298.26
Node31 remaining power: 1307.02
Node32 remaining power: 1292.7
Node33 remaining power: 1283.82
Node34 remaining power: 1262.56
Node35 remaining power: 1311.99
Node36 remaining power: 1338.61
Node37 remaining power: 1316.03
Node38 remaining power: 1307.75
Node39 remaining power: 1333.21
Node40 remaining power: 1402.15
